race_no,event_code,event_name,category,age_group,round,date,time
1,M_1X,男子シングルスカル,M,G,FA,2025-06-07,07:00
2,W_1X,女子シングルスカル,W,G,FA,2025-06-07,07:08
3,M_2X,男子ダブルスカル,M,G,FA,2025-06-07,07:16
4,W_2X,女子ダブルスカル,W,G,FA,2025-06-07,07:24
5,M_4X,男子クォドルプル,M,G,FA,2025-06-07,07:32
6,W_4X,女子クォドルプル,W,G,FA,2025-06-07,07:40
7,M_1X,男子シングルスカル,M,J,FA,2025-06-07,07:48
8,W_1X,女子シングルスカル,W,J,FA,2025-06-07,07:56
9,M_2X,男子ダブルスカル,M,J,FA,2025-06-07,08:04
10,W_2X,女子ダブルスカル,W,J,FA,2025-06-07,08:12
11,M_1X,男子シングルスカル,M,G,H,2025-06-07,08:20
12,W_1X,女子シングルスカル,W,G,H,2025-06-07,08:28
